"alt","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
199,265,268,259,1644,260,4,70,724,28,247,64,128,75,364,349,179,170,264,260
226,263,266,258,1647,262,5,69,721,31,247,69,128,75,320,347,178,169,262,260
222,264,267,258,1733,274,4,71,773,30,260,62,128,74,390,349,177,172,263,259
71,264,268,260,2151,397,51,65,1033,177,177,1001,98,85,346,325,210,115,260,268
36,269,272,265,2444,434,49,74,1290,158,158,1173,102,88,253,329,214,115,267,272
209,260,264,257,1672,283,7,69,740,36,242,697,128,75,308,345,176,169,257,259
31,263,268,257,2537,487,22,74,1304,93,133,1147,94,82,466,325,211,114,257,267
199,265,268,259,1644,260,4,70,724,28,247,64,128,75,364,349,179,170,264,260
179,261,265,256,1841,292,12,67,801,51,270,782,122,76,330,341,182,159,257,261
209,260,264,257,1672,283,7,69,740,36,242,697,128,75,308,345,176,169,257,259
193,265,268,260,1728,272,5,69,759,33,253,75,127,75,320,349,180,169,263,262
180,260,264,256,1843,293,13,67,790,50,274,781,125,77,300,342,180,162,256,260
172,267,270,262,1748,270,5,69,769,34,254,77,127,75,348,351,182,169,266,263
199,265,268,259,1644,260,4,70,724,28,247,64,128,75,364,349,179,170,264,260
198,261,266,258,1808,290,8,69,787,39,264,84,128,75,328,347,177,170,259,260
198,261,266,258,1808,290,8,69,787,39,264,84,128,75,328,347,177,170,259,260
209,260,264,257,1672,283,7,69,740,36,242,697,128,75,308,345,176,169,257,259
328,253,258,248,2001,315,7,70,913,36,516,66,134,74,431,344,163,181,253,248
206,265,268,259,1708,265,4,70,755,30,254,64,128,75,395,349,179,170,265,260
165,264,267,261,1631,368,14,90,948,61,137,898,106,84,273,328,202,126,262,265
198,261,266,258,1808,290,8,69,787,39,264,84,128,75,328,347,177,170,259,260
179,261,265,256,1841,292,12,67,801,51,270,782,122,76,330,341,182,159,257,261
198,261,266,258,1808,290,8,69,787,39,264,84,128,75,328,347,177,170,259,260
198,261,266,258,1808,290,8,69,787,39,264,84,128,75,328,347,177,170,259,260
101,266,271,263,1617,359,25,85,907,85,128,869,103,85,325,328,208,120,264,267
183,264,267,261,1706,372,13,88,985,61,92,924,107,82,264,329,200,129,262,265
36,271,278,265,2007,304,67,52,851,208,287,850,97,80,499,335,215,120,267,274
36,271,278,265,2007,304,67,52,851,208,287,850,97,80,499,335,215,120,267,274
165,264,267,261,1631,368,14,90,948,61,137,898,106,84,273,328,202,126,262,265
206,265,268,259,1708,265,4,70,755,30,254,64,128,75,395,349,179,170,265,260
165,264,267,261,1631,368,14,90,948,61,137,898,106,84,273,328,202,126,262,265
226,263,266,258,1647,262,5,69,721,31,247,69,128,75,320,347,178,169,262,260
206,265,268,259,1708,265,4,70,755,30,254,64,128,75,395,349,179,170,265,260
250,250,255,246,1978,322,16,62,880,84,418,880,119,78,377,327,175,152,246,249
71,264,268,260,2151,397,51,65,1033,177,177,1001,98,85,346,325,210,115,260,268
193,265,268,260,1728,272,5,69,759,33,253,75,127,75,320,349,180,169,263,262
15,270,273,265,2508,391,53,63,1152,163,215,1081,100,89,307,329,217,112,267,273
231,261,265,257,1694,267,6,69,735,33,259,69,129,75,321,346,176,170,260,258
101,266,271,263,1617,359,25,85,907,85,128,869,103,85,325,328,208,120,264,267
183,264,267,261,1706,372,13,88,985,61,92,924,107,82,264,329,200,129,262,265
71,262,267,257,2209,394,35,63,1024,150,150,1024,96,84,400,324,210,114,257,267
328,253,258,248,2001,315,7,70,913,36,516,66,134,74,431,344,163,181,253,248
163,257,264,251,1524,315,13,85,862,86,118,862,93,81,504,317,203,114,251,260
163,257,264,251,1524,315,13,85,862,86,118,862,93,81,504,317,203,114,251,260
206,265,268,259,1708,265,4,70,755,30,254,64,128,75,395,349,179,170,265,260
222,264,267,258,1733,274,4,71,773,30,260,62,128,74,390,349,177,172,263,259
222,264,267,258,1733,274,4,71,773,30,260,62,128,74,390,349,177,172,263,259
222,264,267,258,1733,274,4,71,773,30,260,62,128,74,390,349,177,172,263,259
293,250,253,247,1990,279,20,55,811,117,341,761,121,80,263,325,175,150,248,249
215,262,265,259,1518,343,11,89,886,55,134,829,108,81,281,328,196,132,260,263
206,265,268,259,1708,265,4,70,755,30,254,64,128,75,395,349,179,170,265,260
222,264,267,258,1733,274,4,71,773,30,260,62,128,74,390,349,177,172,263,259
222,264,267,258,1733,274,4,71,773,30,260,62,128,74,390,349,177,172,263,259
222,264,267,258,1733,274,4,71,773,30,260,62,128,74,390,349,177,172,263,259
222,264,267,258,1733,274,4,71,773,30,260,62,128,74,390,349,177,172,263,259
222,264,267,258,1733,274,4,71,773,30,260,62,128,74,390,349,177,172,263,259
222,264,267,258,1733,274,4,71,773,30,260,62,128,74,390,349,177,172,263,259
206,265,268,259,1708,265,4,70,755,30,254,64,128,75,395,349,179,170,265,260
207,262,266,259,1494,336,10,89,873,53,137,140,109,80,298,330,195,135,260,263
222,264,267,258,1733,274,4,71,773,30,260,62,128,74,390,349,177,172,263,259
215,262,265,259,1518,343,11,89,886,55,134,829,108,81,281,328,196,132,260,263
24,267,270,263,2446,352,82,50,1007,258,267,968,103,87,315,330,212,118,265,270
206,265,268,259,1708,265,4,70,755,30,254,64,128,75,395,349,179,170,265,260
206,265,268,259,1708,265,4,70,755,30,254,64,128,75,395,349,179,170,265,260
216,259,263,255,1808,290,11,68,780,44,269,780,127,76,315,343,176,167,255,258
56,269,271,265,2468,457,47,75,1307,154,163,1202,102,88,239,328,213,115,267,270
18,271,278,264,2145,328,47,55,936,181,201,722,91,82,550,332,222,110,266,277
46,268,271,264,2520,464,64,70,1284,195,229,1174,101,88,250,327,213,114,266,270
171,264,268,261,1717,377,14,88,993,62,94,935,106,83,290,329,202,127,262,266
50,262,268,256,2247,406,24,66,1059,108,108,1059,94,82,454,325,211,114,256,268
20,265,271,259,2795,559,17,85,1535,61,133,1341,87,82,471,324,219,105,259,271
90,265,271,260,2276,392,32,71,1127,131,181,1070,98,83,406,326,208,118,261,266
90,265,271,260,2276,392,32,71,1127,131,181,1070,98,83,406,326,208,118,261,266
50,262,268,256,2247,406,24,66,1059,108,108,1059,94,82,454,325,211,114,256,268
46,268,271,264,2520,464,64,70,1284,195,229,1174,101,88,250,327,213,114,266,270
171,264,268,261,1717,377,14,88,993,62,94,935,106,83,290,329,202,127,262,266
46,266,269,262,2301,407,70,63,1073,219,219,1040,99,87,282,325,212,113,263,269
18,271,278,264,2145,328,47,55,936,181,201,722,91,82,550,332,222,110,266,277
36,269,272,265,2444,434,49,74,1290,158,158,1173,102,88,253,329,214,115,267,272
20,265,271,259,2795,559,17,85,1535,61,133,1341,87,82,471,324,219,105,259,271
56,269,271,265,2468,457,47,75,1307,154,163,1202,102,88,239,328,213,115,267,270
171,264,268,261,1717,377,14,88,993,62,94,935,106,83,290,329,202,127,262,266
28,266,271,260,2640,508,28,77,1382,101,101,1238,88,84,433,323,219,104,260,271
93,263,267,259,2138,392,46,64,1019,171,171,986,98,85,349,324,209,115,259,267
24,267,270,263,2446,352,82,50,1007,258,267,968,103,87,315,330,212,118,265,270
31,269,272,265,2463,429,55,71,1269,175,175,1156,101,89,281,328,215,113,267,272
71,262,267,257,2209,394,35,63,1024,150,150,1024,96,84,400,324,210,114,257,267
50,266,271,261,2468,420,50,64,1170,179,224,1062,99,84,374,328,211,117,262,270
163,257,265,251,2033,375,33,70,1006,127,138,850,89,81,558,315,206,109,252,263
250,256,262,251,2387,373,10,68,1079,65,331,1061,128,69,491,350,167,183,251,253
273,255,260,248,2410,374,9,69,1079,53,338,1073,133,69,539,354,163,191,249,252
166,254,260,249,1719,301,48,61,809,152,206,779,97,80,472,315,195,120,250,255
166,254,260,249,1719,301,48,61,809,152,206,779,97,80,472,315,195,120,250,255
166,254,260,249,1719,301,48,61,809,152,206,779,97,80,472,315,195,120,250,255
166,254,260,249,1719,301,48,61,809,152,206,779,97,80,472,315,195,120,250,255
293,250,253,247,1990,279,20,55,811,117,341,761,121,80,263,325,175,150,248,249
293,250,253,247,1990,279,20,55,811,117,341,761,121,80,263,325,175,150,248,249
293,250,253,247,1990,279,20,55,811,117,341,761,121,80,263,325,175,150,248,249
293,250,253,247,1990,279,20,55,811,117,341,761,121,80,263,325,175,150,248,249
62,266,271,260,2332,384,51,62,1064,159,195,980,96,82,409,327,211,116,261,270
187,248,254,243,1695,280,33,66,800,108,185,800,102,82,437,311,187,124,243,251
293,250,253,247,1990,279,20,55,811,117,341,761,121,80,263,325,175,150,248,249
293,250,253,247,1990,279,20,55,811,117,341,761,121,80,263,325,175,150,248,249
14,270,275,265,2659,424,39,64,1250,147,231,1175,90,88,382,325,223,102,267,275
202,263,267,259,1760,278,6,69,769,35,259,77,128,75,317,348,178,170,262,261
319,256,260,250,1942,314,5,71,893,33,500,61,133,73,449,346,166,180,256,250
183,264,267,261,1706,372,13,88,985,61,92,924,107,82,264,329,200,129,262,265
183,264,267,261,1706,372,13,88,985,61,92,924,107,82,264,329,200,129,262,265
27,261,267,254,2515,484,11,77,1314,55,55,1314,96,80,517,327,207,120,254,267
53,268,271,264,2410,455,45,75,1264,153,219,1181,102,88,254,327,212,115,266,269
251,260,263,257,1605,357,12,89,933,59,145,871,108,83,272,326,196,130,258,261
27,261,268,255,2354,471,7,80,1248,41,41,1248,94,80,536,326,209,117,255,268
91,264,269,260,2082,385,45,65,999,169,169,968,97,84,356,325,210,115,260,269
91,264,269,260,2082,385,45,65,999,169,169,968,97,84,356,325,210,115,260,269
43,263,268,258,2356,448,36,66,1135,148,161,1048,95,84,377,324,211,113,259,267
42,270,277,263,2340,347,50,51,981,208,236,772,90,82,553,331,222,109,265,276
27,261,267,254,2515,484,11,77,1314,55,55,1314,96,80,517,327,207,120,254,267
183,264,267,261,1706,372,13,88,985,61,92,924,107,82,264,329,200,129,262,265
39,260,266,254,2410,451,16,72,1209,77,77,1209,96,80,480,326,207,119,254,266
53,268,271,264,2410,455,45,75,1264,153,219,1181,102,88,254,327,212,115,266,269
91,264,269,260,2082,385,45,65,999,169,169,968,97,84,356,325,210,115,260,269
39,260,266,254,2410,451,16,72,1209,77,77,1209,96,80,480,326,207,119,254,266
194,265,269,260,1626,258,4,70,717,29,242,66,127,74,371,350,180,170,264,261
46,266,269,262,2301,407,70,63,1073,219,219,1040,99,87,282,325,212,113,263,269
42,265,269,261,2253,406,60,63,1061,196,196,1032,99,86,312,326,211,115,262,269
52,264,268,259,2229,405,43,63,1049,165,165,1002,97,84,375,325,210,115,259,268
53,268,271,264,2410,455,45,75,1264,153,219,1181,102,88,254,327,212,115,266,269
93,263,268,259,2135,387,42,64,1004,167,167,973,97,85,355,324,210,114,259,268
93,263,268,259,2135,387,42,64,1004,167,167,973,97,85,355,324,210,114,259,268
183,264,267,261,1706,372,13,88,985,61,92,924,107,82,264,329,200,129,262,265
40,263,269,256,2193,429,9,77,1110,47,47,1110,89,80,507,324,213,111,256,269
27,261,267,254,2515,484,11,77,1314,55,55,1314,96,80,517,327,207,120,254,267
91,264,269,260,2082,385,45,65,999,169,169,968,97,84,356,325,210,115,260,269
72,263,268,259,2179,395,42,63,1026,165,165,988,97,84,380,325,210,115,259,268
71,262,267,257,2209,394,35,63,1024,150,150,1024,96,84,400,324,210,114,257,267
27,261,268,255,2354,471,7,80,1248,41,41,1248,94,80,536,326,209,117,255,268
27,261,267,254,2515,484,11,77,1314,55,55,1314,96,80,517,327,207,120,254,267
183,264,267,261,1706,372,13,88,985,61,92,924,107,82,264,329,200,129,262,265
10,262,269,256,2422,493,5,83,1318,31,31,1318,92,80,537,327,212,115,256,269
183,264,267,261,1706,372,13,88,985,61,92,924,107,82,264,329,200,129,262,265
126,266,269,263,1739,319,17,76,891,65,147,891,108,77,262,336,196,140,263,265
12,270,273,265,2518,408,51,64,1202,185,209,1117,100,90,281,328,217,111,267,273
43,263,268,258,2356,448,36,66,1135,148,161,1048,95,84,377,324,211,113,259,267
59,261,267,255,2283,424,19,70,1111,86,86,1111,94,81,492,324,209,115,255,267
38,266,269,262,2278,394,71,60,1041,228,228,999,98,87,273,325,213,112,263,269
12,270,273,265,2518,408,51,64,1202,185,209,1117,100,90,281,328,217,111,267,273
43,263,268,258,2356,448,36,66,1135,148,161,1048,95,84,377,324,211,113,259,267
293,250,253,247,1990,279,20,55,811,117,341,761,121,80,263,325,175,150,248,249
59,261,267,255,2283,424,19,70,1111,86,86,1111,94,81,492,324,209,115,255,267
38,266,269,262,2278,394,71,60,1041,228,228,999,98,87,273,325,213,112,263,269
12,270,273,265,2518,408,51,64,1202,185,209,1117,100,90,281,328,217,111,267,273
183,264,267,261,1706,372,13,88,985,61,92,924,107,82,264,329,200,129,262,265
12,270,273,265,2518,408,51,64,1202,185,209,1117,100,90,281,328,217,111,267,273
193,265,268,260,1728,272,5,69,759,33,253,75,127,75,320,349,180,169,263,262
136,262,269,257,1950,311,61,58,897,193,249,897,97,80,499,326,206,120,257,265
121,264,271,258,2107,352,67,59,966,208,266,966,96,81,504,327,209,118,258,267
273,255,260,248,2410,374,9,69,1079,53,338,1073,133,69,539,354,163,191,249,252
273,255,260,248,2410,374,9,69,1079,53,338,1073,133,69,539,354,163,191,249,252
273,255,260,248,2410,374,9,69,1079,53,338,1073,133,69,539,354,163,191,249,252
31,273,279,266,2086,313,64,52,887,209,241,866,97,80,486,336,216,120,268,276
167,256,263,251,1671,317,23,75,861,102,102,861,94,82,477,316,202,114,251,263
31,273,279,266,2086,313,64,52,887,209,241,866,97,80,486,336,216,120,268,276
273,255,260,248,2410,374,9,69,1079,53,338,1073,133,69,539,354,163,191,249,252
167,256,263,251,1671,317,23,75,861,102,102,861,94,82,477,316,202,114,251,263
121,267,274,261,2337,343,62,50,937,209,448,935,102,77,485,334,202,132,263,266
273,255,260,248,2410,374,9,69,1079,53,338,1073,133,69,539,354,163,191,249,252
167,256,263,251,1671,317,23,75,861,102,102,861,94,82,477,316,202,114,251,263
133,256,263,251,1818,322,44,63,858,138,223,831,99,80,482,319,196,123,252,258
18,270,276,263,2416,343,61,49,985,246,263,823,93,83,506,331,220,111,266,276
59,268,275,262,2129,342,43,61,969,160,160,797,92,84,547,328,219,109,263,275
31,273,279,266,2086,313,64,52,887,209,241,866,97,80,486,336,216,120,268,276
273,255,260,248,2410,374,9,69,1079,53,338,1073,133,69,539,354,163,191,249,252
163,257,265,251,2033,375,33,70,1006,127,138,850,89,81,558,315,206,109,252,263
273,255,260,248,2410,374,9,69,1079,53,338,1073,133,69,539,354,163,191,249,252
273,255,260,248,2410,374,9,69,1079,53,338,1073,133,69,539,354,163,191,249,252
273,255,260,248,2410,374,9,69,1079,53,338,1073,133,69,539,354,163,191,249,252
273,255,260,248,2410,374,9,69,1079,53,338,1073,133,69,539,354,163,191,249,252
293,250,253,247,1990,279,20,55,811,117,341,761,121,80,263,325,175,150,248,249
115,255,263,250,1897,328,43,65,899,141,157,787,94,79,538,316,198,118,250,260
115,255,263,250,1897,328,43,65,899,141,157,787,94,79,538,316,198,118,250,260
21,264,270,258,2789,562,14,86,1543,52,122,1543,89,82,475,324,216,108,258,270
15,269,272,265,2550,420,56,63,1211,206,206,1133,98,89,263,326,217,109,267,272
11,273,278,265,2532,463,22,74,1325,105,178,1212,78,83,485,322,229,93,268,278
93,263,268,259,2135,387,42,64,1004,167,167,973,97,85,355,324,210,114,259,268
36,266,269,261,2311,400,71,59,1049,223,223,1011,97,86,309,325,213,112,262,269
35,261,267,256,2444,451,23,69,1207,105,135,1207,96,81,459,326,208,118,256,266
23,267,270,262,2391,395,78,55,1056,250,250,1025,95,87,290,324,216,108,264,270
93,263,268,259,2135,387,42,64,1004,167,167,973,97,85,355,324,210,114,259,268
91,264,269,260,2082,385,45,65,999,169,169,968,97,84,356,325,210,115,260,269
27,265,269,260,2325,417,55,61,1078,195,232,1023,96,85,335,325,213,112,261,269
77,261,266,256,2257,408,34,64,1062,143,170,996,97,83,401,324,208,116,256,266
11,273,278,265,2532,463,22,74,1325,105,178,1212,78,83,485,322,229,93,268,278
39,264,269,260,2285,414,51,62,1069,182,218,1017,97,85,340,325,211,114,260,268
93,263,268,259,2135,387,42,64,1004,167,167,973,97,85,355,324,210,114,259,268
93,263,268,259,2135,387,42,64,1004,167,167,973,97,85,355,324,210,114,259,268
21,264,270,258,2789,562,14,86,1543,52,122,1543,89,82,475,324,216,108,258,270
58,265,269,262,2199,409,61,68,1078,196,196,1054,100,86,284,326,211,115,262,269
55,261,267,256,2302,419,29,65,1095,128,152,1095,97,82,407,325,208,117,256,266
66,260,266,254,2362,432,24,68,1143,110,136,1143,97,82,443,324,207,117,254,265
46,266,269,262,2301,407,70,63,1073,219,219,1040,99,87,282,325,212,113,263,269
65,264,268,259,2220,404,53,64,1051,184,184,1017,98,85,351,325,210,115,260,268
20,269,272,264,2566,415,66,59,1180,232,263,1121,96,88,291,325,217,108,266,272
11,273,278,265,2532,463,22,74,1325,105,178,1212,78,83,485,322,229,93,268,278
39,264,269,260,2285,414,51,62,1069,182,218,1017,97,85,340,325,211,114,260,268
30,264,269,260,2273,415,43,63,1071,165,196,1071,97,84,359,326,211,115,260,268
93,263,268,259,2135,387,42,64,1004,167,167,973,97,85,355,324,210,114,259,268
93,263,268,259,2135,387,42,64,1004,167,167,973,97,85,355,324,210,114,259,268
27,265,269,260,2325,417,55,61,1078,195,232,1023,96,85,335,325,213,112,261,269
65,264,268,259,2220,404,53,64,1051,184,184,1017,98,85,351,325,210,115,260,268
87,263,268,259,2148,381,39,62,991,166,166,991,95,84,384,324,211,113,259,268
93,263,268,259,2135,387,42,64,1004,167,167,973,97,85,355,324,210,114,259,268
64,261,266,255,2373,438,28,67,1148,122,145,1148,97,82,446,324,207,117,255,265
15,269,272,265,2550,420,56,63,1211,206,206,1133,98,89,263,326,217,109,267,272
38,266,269,262,2278,394,71,60,1041,228,228,999,98,87,273,325,213,112,263,269
52,264,268,259,2229,405,43,63,1049,165,165,1002,97,84,375,325,210,115,259,268
88,268,276,262,2179,337,47,60,970,162,213,902,91,81,580,331,220,111,262,275
52,271,280,265,2451,396,74,54,1069,251,251,952,91,81,620,335,223,112,266,280
273,255,260,248,2410,374,9,69,1079,53,338,1073,133,69,539,354,163,191,249,252
65,267,275,261,1945,313,48,58,865,171,171,806,93,80,611,331,216,115,261,275
42,270,277,263,2340,347,50,51,981,208,236,772,90,82,553,331,222,109,265,276
25,268,276,262,1891,306,38,61,856,143,143,808,93,80,603,331,216,115,262,276
335,251,256,245,2395,388,9,69,1085,47,349,1085,136,70,511,351,158,193,245,248
202,262,266,259,1618,363,13,90,941,59,140,886,107,83,269,327,199,128,260,264
77,261,266,256,2257,408,34,64,1062,143,170,996,97,83,401,324,208,116,256,266
36,265,269,261,2245,408,48,63,1057,176,176,1013,98,85,344,326,211,115,261,269
37,267,270,263,2438,418,72,59,1119,252,252,1061,98,88,266,325,214,111,265,270
27,265,269,260,2325,417,55,61,1078,195,232,1023,96,85,335,325,213,112,261,269
27,265,269,260,2325,417,55,61,1078,195,232,1023,96,85,335,325,213,112,261,269
37,267,270,263,2438,418,72,59,1119,252,252,1061,98,88,266,325,214,111,265,270
34,275,284,269,2293,413,38,61,1027,159,159,998,85,80,604,336,230,106,269,284
241,261,264,258,1818,387,14,87,1039,66,100,975,107,84,255,326,199,127,259,263
20,267,270,261,2381,365,70,55,1028,223,223,981,105,86,327,332,211,121,264,270
20,267,270,261,2381,365,70,55,1028,223,223,981,105,86,327,332,211,121,264,270
241,261,264,258,1818,387,14,87,1039,66,100,975,107,84,255,326,199,127,259,263
20,267,270,261,2381,365,70,55,1028,223,223,981,105,86,327,332,211,121,264,270
245,256,262,251,2372,372,11,67,1079,69,327,1058,126,70,477,349,169,180,251,254
20,267,270,261,2381,365,70,55,1028,223,223,981,105,86,327,332,211,121,264,270
20,267,270,261,2381,365,70,55,1028,223,223,981,105,86,327,332,211,121,264,270
20,267,270,261,2381,365,70,55,1028,223,223,981,105,86,327,332,211,121,264,270
31,270,277,263,2101,332,43,59,953,159,159,762,92,85,550,329,221,108,265,277
35,274,283,268,2354,408,42,60,1053,167,167,1011,86,81,593,335,229,106,268,283
273,255,260,248,2410,374,9,69,1079,53,338,1073,133,69,539,354,163,191,249,252
15,269,272,264,2552,394,61,60,1145,187,228,1075,100,88,320,329,216,113,266,272
241,261,264,258,1818,387,14,87,1039,66,100,975,107,84,255,326,199,127,259,263
60,269,278,263,2226,350,43,60,998,155,155,919,91,81,610,333,222,111,263,278
30,264,269,260,2273,415,43,63,1071,165,196,1071,97,84,359,326,211,115,260,268
241,261,264,258,1818,387,14,87,1039,66,100,975,107,84,255,326,199,127,259,263
110,266,275,260,2136,340,65,55,929,216,216,847,93,81,616,330,216,114,260,275
17,270,273,265,2537,412,54,64,1194,195,199,1107,102,88,293,330,215,115,267,273
241,261,264,258,1818,387,14,87,1039,66,100,975,107,84,255,326,199,127,259,263
241,261,264,258,1818,387,14,87,1039,66,100,975,107,84,255,326,199,127,259,263
241,261,264,258,1818,387,14,87,1039,66,100,975,107,84,255,326,199,127,259,263
110,266,275,260,2136,340,65,55,929,216,216,847,93,81,616,330,216,114,260,275
13,269,273,264,2531,392,51,61,1143,169,227,1077,99,88,322,329,217,112,266,273
61,268,276,262,2137,336,42,61,960,149,205,886,92,81,581,332,219,113,262,276
20,267,270,261,2381,365,70,55,1028,223,223,981,105,86,327,332,211,121,264,270
20,267,270,261,2381,365,70,55,1028,223,223,981,105,86,327,332,211,121,264,270
241,261,264,258,1818,387,14,87,1039,66,100,975,107,84,255,326,199,127,259,263
293,250,253,247,1990,279,20,55,811,117,341,761,121,80,263,325,175,150,248,249
194,265,269,260,1626,258,4,70,717,29,242,66,127,74,371,350,180,170,264,261
194,266,269,260,1697,264,4,70,751,29,250,65,127,74,364,350,180,170,266,261
57,267,273,261,2247,362,49,60,1005,163,186,913,95,84,455,327,214,113,263,272
318,259,268,252,2166,373,69,53,973,227,227,641,99,79,651,332,207,125,253,268
241,261,264,258,1818,387,14,87,1039,66,100,975,107,84,255,326,199,127,259,263
166,254,260,249,1719,301,48,61,809,152,206,779,97,80,472,315,195,120,250,255
22,269,271,265,2538,425,63,61,1192,230,248,1118,98,89,244,326,216,110,266,271
241,261,264,258,1818,387,14,87,1039,66,100,975,107,84,255,326,199,127,259,263
241,261,264,258,1818,387,14,87,1039,66,100,975,107,84,255,326,199,127,259,263
22,269,271,265,2538,425,63,61,1192,230,248,1118,98,89,244,326,216,110,266,271
92,264,270,259,2282,357,36,67,989,128,174,947,93,79,442,324,207,117,260,268
78,265,271,260,2306,352,35,67,1034,132,180,988,95,81,419,325,208,117,261,269
293,255,258,251,1824,290,8,68,790,38,294,71,130,76,300,341,170,171,254,252
293,255,258,251,1824,290,8,68,790,38,294,71,130,76,300,341,170,171,254,252
427,248,251,244,1881,300,7,68,818,40,307,73,131,75,328,335,162,173,247,244
4,273,278,266,2418,438,26,74,1246,94,142,1101,80,85,466,323,229,94,268,278
101,266,271,263,1617,359,25,85,907,85,128,869,103,85,325,328,208,120,264,267
293,255,258,251,1824,290,8,68,790,38,294,71,130,76,300,341,170,171,254,252
293,255,258,251,1824,290,8,68,790,38,294,71,130,76,300,341,170,171,254,252
427,248,251,244,1881,300,7,68,818,40,307,73,131,75,328,335,162,173,247,244
281,249,253,246,1958,285,21,57,830,119,303,765,120,81,282,322,175,147,248,249
101,266,271,263,1617,359,25,85,907,85,128,869,103,85,325,328,208,120,264,267
193,260,264,257,1757,287,9,69,764,39,259,764,128,76,304,345,177,168,257,260
51,266,269,262,2345,418,67,65,1111,222,222,1085,100,88,287,325,212,113,263,269
179,261,265,256,1841,292,12,67,801,51,270,782,122,76,330,341,182,159,257,261
293,255,258,251,1824,290,8,68,790,38,294,71,130,76,300,341,170,171,254,252
51,266,269,262,2345,418,67,65,1111,222,222,1085,100,88,287,325,212,113,263,269
35,266,270,262,2284,407,68,63,1068,209,209,1041,99,86,296,326,212,114,263,270
65,270,274,266,2372,439,31,79,1288,111,132,1197,104,88,292,331,213,118,268,273
101,266,271,263,1617,359,25,85,907,85,128,869,103,85,325,328,208,120,264,267
